hour,day_of_week,is_weekend,is_peak_hour,school_open,college_open,festival,political_event,mall_opening,special_event,rain,traffic_index
18,3,0,1,1,1,0,0,0,0,0,118
19,3,0,1,1,1,0,0,0,0,2,186
20,3,0,0,1,1,0,0,0,0,0,122
21,3,0,0,1,1,0,0,0,0,0,44
22,3,0,0,1,1,0,0,0,0,0,44
23,3,0,0,1,1,0,0,0,0,0,47
0,4,0,0,1,1,0,0,0,0,0,38
1,4,0,0,1,1,0,0,0,0,0,39
2,4,0,0,1,1,0,0,0,0,2,102
3,4,0,0,1,1,0,0,0,0,1,67
4,4,0,0,1,1,0,0,0,0,2,102
5,4,0,0,1,1,0,0,0,0,1,66
6,4,0,0,1,1,0,0,0,0,0,43
7,4,0,0,1,1,0,0,0,0,2,142
8,4,0,1,1,1,0,0,0,0,0,140
9,4,0,1,1,1,0,0,0,0,0,100
10,4,0,1,1,1,0,0,0,0,0,88
11,4,0,0,1,1,0,0,0,0,0,58
12,4,0,0,1,1,0,0,0,0,0,90
13,4,0,0,1,1,0,0,0,0,0,77
14,4,0,0,1,1,0,0,0,0,1,97
15,4,0,0,1,1,0,0,0,0,0,63
16,4,0,0,1,1,0,0,0,0,0,57
17,4,0,1,1,1,0,0,0,0,0,118
18,4,0,1,1,1,0,0,0,0,0,125
19,4,0,1,1,1,0,0,0,0,1,148
20,4,0,0,1,1,0,0,0,0,0,119
21,4,0,0,1,1,0,0,0,0,2,112
22,4,0,0,1,1,0,0,0,0,1,79
23,4,0,0,1,1,0,0,0,0,0,46
0,5,1,0,0,1,0,0,0,0,0,18
1,5,1,0,0,1,0,0,0,0,1,41
2,5,1,0,0,1,0,0,0,0,1,59
3,5,1,0,0,1,0,0,0,0,1,49
4,5,1,0,0,1,0,0,0,0,1,39
5,5,1,0,0,1,0,0,0,0,0,21
6,5,1,0,0,1,0,0,0,0,0,38
7,5,1,0,0,1,0,0,0,0,0,33
8,5,1,1,0,1,0,0,0,0,1,87
9,5,1,1,0,1,0,0,0,0,0,73
10,5,1,1,0,1,0,0,0,0,0,62
11,5,1,0,0,1,0,0,0,0,0,32
12,5,1,0,0,1,0,0,0,0,0,62
13,5,1,0,0,1,0,0,0,0,0,49
14,5,1,0,0,1,0,0,0,0,1,68
15,5,1,0,0,1,0,0,0,0,0,33
16,5,1,0,0,1,0,0,0,0,1,60
17,5,1,1,0,1,0,0,0,0,0,95
18,5,1,1,0,1,0,0,0,0,0,98
19,5,1,1,0,1,0,0,0,0,1,126
20,5,1,0,0,1,0,0,0,0,1,120
21,5,1,0,0,1,0,0,0,0,0,23
22,5,1,0,0,1,0,0,0,0,1,47
23,5,1,0,0,1,0,0,0,0,0,112
0,6,1,0,0,1,0,0,0,0,0,18
1,6,1,0,0,1,0,0,0,0,0,16
2,6,1,0,0,1,0,0,0,0,0,12
3,6,1,0,0,1,0,0,0,0,0,14
4,6,1,0,0,1,0,0,0,0,0,13
5,6,1,0,0,1,0,0,0,0,0,12
6,6,1,0,0,1,0,0,0,0,0,18
7,6,1,0,0,1,0,0,0,0,0,37
8,6,1,1,0,1,0,0,0,0,2,117
9,6,1,1,0,1,0,0,0,0,0,61
10,6,1,1,0,1,0,0,0,0,0,59
11,6,1,0,0,1,0,0,0,0,1,62
12,6,1,0,0,1,0,0,0,0,0,46
13,6,1,0,0,1,0,0,0,0,0,48
14,6,1,0,0,1,0,0,0,0,0,47
15,6,1,0,0,1,0,0,0,0,0,33
16,6,1,0,0,1,0,0,0,0,2,95
17,6,1,1,0,1,0,0,0,0,1,121
18,6,1,1,0,1,0,0,0,0,0,137
19,6,1,1,0,1,0,0,0,0,1,137
20,6,1,0,0,1,0,0,0,0,1,120
21,6,1,0,0,1,0,0,0,0,0,20
22,6,1,0,0,1,0,0,0,0,1,42
23,6,1,0,0,1,0,0,0,0,0,19
0,0,0,0,1,1,0,0,0,0,1,62
1,0,0,0,1,1,0,0,0,0,1,72
2,0,0,0,1,1,0,0,0,0,0,43
3,0,0,0,1,1,0,0,0,0,0,58
4,0,0,0,1,1,0,0,0,0,0,42
5,0,0,0,1,1,0,0,0,0,0,53
6,0,0,0,1,1,0,0,0,0,1,75
7,0,0,0,1,1,0,0,0,0,1,98
8,0,0,1,1,1,0,0,0,0,0,101
9,0,0,1,1,1,0,0,0,0,0,100
10,0,0,1,1,1,0,0,0,0,0,84
11,0,0,0,1,1,0,0,0,0,0,57
12,0,0,0,1,1,0,0,0,0,0,71
13,0,0,0,1,1,0,0,0,0,0,72
14,0,0,0,1,1,0,0,0,0,2,168
15,0,0,0,1,1,0,0,0,0,0,61
16,0,0,0,1,1,0,0,0,0,0,99
17,0,0,1,1,1,0,0,0,0,1,142
18,0,0,1,1,1,0,0,0,0,0,131
19,0,0,1,1,1,0,0,0,0,2,182
20,0,0,0,1,1,0,0,0,0,2,178
21,0,0,0,1,1,0,0,0,0,0,66
22,0,0,0,1,1,0,0,0,0,0,42
23,0,0,0,1,1,0,0,0,0,0,52
0,1,0,0,1,1,0,0,0,0,0,41
1,1,0,0,1,1,0,0,0,0,0,38
2,1,0,0,1,1,0,0,0,0,0,37
3,1,0,0,1,1,0,0,0,0,0,44
4,1,0,0,1,1,0,0,0,0,0,39
5,1,0,0,1,1,0,0,0,0,0,45
6,1,0,0,1,1,0,0,0,0,2,121
7,1,0,0,1,1,0,0,0,0,0,73
8,1,0,1,1,1,0,0,0,0,0,101
9,1,0,1,1,1,0,0,0,0,0,102
10,1,0,1,1,1,0,0,0,0,2,145
11,1,0,0,1,1,0,0,0,0,0,58
12,1,0,0,1,1,0,0,0,0,0,71
13,1,0,0,1,1,0,0,0,0,1,93
14,1,0,0,1,1,0,0,0,0,0,67
15,1,0,0,1,1,0,0,0,0,1,85
16,1,0,0,1,1,0,0,0,0,0,68
17,1,0,1,1,1,0,0,0,0,0,117
18,1,0,1,1,1,0,0,0,0,0,119
19,1,0,1,1,1,0,0,0,0,0,208
20,1,0,0,1,1,0,0,0,0,0,125
21,1,0,0,1,1,0,0,0,0,1,83
22,1,0,0,1,1,0,0,0,0,0,47
23,1,0,0,1,1,0,0,0,0,0,57
0,2,0,0,1,1,0,0,0,0,0,38
1,2,0,0,1,1,0,0,0,0,0,38
2,2,0,0,1,1,0,0,0,0,0,37
3,2,0,0,1,1,0,0,0,0,0,41
4,2,0,0,1,1,0,0,0,0,0,52
5,2,0,0,1,1,0,0,0,0,0,41
6,2,0,0,1,1,0,0,0,0,0,47
7,2,0,0,1,1,0,0,0,0,0,78
8,2,0,1,1,1,0,0,0,0,0,100
9,2,0,1,1,1,0,0,0,0,0,100
10,2,0,1,1,1,0,0,0,0,2,148
11,2,0,0,1,1,0,0,0,0,0,62
12,2,0,0,1,1,0,0,0,0,0,72
13,2,0,0,1,1,0,0,0,0,0,157
14,2,0,0,1,1,0,0,0,0,2,128
15,2,0,0,1,1,0,0,0,0,1,83
16,2,0,0,1,1,0,0,0,0,0,83
17,2,0,1,1,1,0,0,0,0,0,121
18,2,0,1,1,1,0,0,0,0,1,147
19,2,0,1,1,1,0,0,0,0,0,119
20,2,0,0,1,1,0,0,0,0,0,120
21,2,0,0,1,1,0,0,0,0,0,45
22,2,0,0,1,1,0,0,0,0,0,43
23,2,0,0,1,1,0,0,0,0,1,73
0,3,0,0,1,1,0,0,0,0,2,102
1,3,0,0,1,1,0,0,0,0,0,39
2,3,0,0,1,1,0,0,0,0,0,80
3,3,0,0,1,1,0,0,0,0,0,37
4,3,0,0,1,1,0,0,0,0,1,64
5,3,0,0,1,1,0,0,0,0,1,67
6,3,0,0,1,1,0,0,0,0,1,83
7,3,0,0,1,1,0,0,0,0,1,101
8,3,0,1,1,1,0,0,0,0,0,100
9,3,0,1,1,1,0,0,0,0,0,120
10,3,0,1,1,1,0,0,0,0,0,84
11,3,0,0,1,1,0,0,0,0,1,106
12,3,0,0,1,1,0,0,0,0,0,72
13,3,0,0,1,1,0,0,0,0,0,72
14,3,0,0,1,1,0,0,0,0,0,108
15,3,0,0,1,1,0,0,0,0,0,62
16,3,0,0,1,1,0,0,0,0,0,59
17,3,0,1,1,1,0,0,0,0,0,120
18,3,0,1,1,1,0,0,0,0,0,142
19,3,0,1,1,1,0,0,0,0,0,120
20,3,0,0,1,1,0,0,0,0,0,117
21,3,0,0,1,1,0,0,0,0,0,52
22,3,0,0,1,1,0,0,0,0,1,73
23,3,0,0,1,1,0,0,0,0,0,43
0,4,0,0,1,1,0,0,0,0,0,39
1,4,0,0,1,1,0,0,0,0,1,63
2,4,0,0,1,1,0,0,0,0,0,39
3,4,0,0,1,1,0,0,0,0,1,68
4,4,0,0,1,1,0,0,0,0,0,43
5,4,0,0,1,1,0,0,0,0,0,47
6,4,0,0,1,1,0,0,0,0,0,61
7,4,0,0,1,1,0,0,0,0,0,82
8,4,0,1,1,1,0,0,0,0,0,99
9,4,0,1,1,1,0,0,0,0,0,102
10,4,0,1,1,1,0,0,0,0,2,145
11,4,0,0,1,1,0,0,0,0,0,60
12,4,0,0,1,1,0,0,0,0,1,98
13,4,0,0,1,1,0,0,0,0,0,70
14,4,0,0,1,1,0,0,0,0,1,116
15,4,0,0,1,1,0,0,0,0,0,59
16,4,0,0,1,1,0,0,0,0,0,63
17,4,0,1,1,1,0,0,0,0,0,119
18,4,0,1,1,1,0,0,0,0,0,139
19,4,0,1,1,1,0,0,0,0,1,148
20,4,0,0,1,1,0,0,0,0,0,117
21,4,0,0,1,1,0,0,0,0,0,45
22,4,0,0,1,1,0,0,0,0,0,47
23,4,0,0,1,1,0,0,0,0,0,44
0,5,1,0,0,1,0,0,0,0,2,76
1,5,1,0,0,1,0,0,0,0,2,78
2,5,1,0,0,1,0,0,0,0,2,76
3,5,1,0,0,1,0,0,0,0,0,17
4,5,1,0,0,1,0,0,0,0,0,25
5,5,1,0,0,1,0,0,0,0,2,80
6,5,1,0,0,1,0,0,0,0,0,18
7,5,1,0,0,1,0,0,0,0,2,98
8,5,1,1,0,1,0,0,0,0,2,118
9,5,1,1,0,1,0,0,0,0,1,85
10,5,1,1,0,1,0,0,0,0,0,59
11,5,1,0,0,1,0,0,0,0,0,42
12,5,1,0,0,1,0,0,0,0,1,162
13,5,1,0,0,1,0,0,0,0,0,48
14,5,1,0,0,1,0,0,0,0,0,47
15,5,1,0,0,1,0,0,0,0,0,37
16,5,1,0,0,1,0,0,0,0,2,93
17,5,1,1,0,1,0,0,0,0,0,92
18,5,1,1,0,1,0,0,0,0,0,96
19,5,1,1,0,1,0,0,0,0,0,135
20,5,1,0,0,1,0,0,0,0,0,96
21,5,1,0,0,1,0,0,0,0,2,98
22,5,1,0,0,1,0,0,0,0,0,29
23,5,1,0,0,1,0,0,0,0,0,33
0,6,1,0,0,1,0,0,0,0,1,48
1,6,1,0,0,1,0,0,0,0,1,43
2,6,1,0,0,1,0,0,0,0,0,17
3,6,1,0,0,1,0,0,0,0,1,48
4,6,1,0,0,1,0,0,0,0,0,13
5,6,1,0,0,1,0,0,0,0,0,107
6,6,1,0,0,1,0,0,0,0,1,44
7,6,1,0,0,1,0,0,0,0,1,69
8,6,1,1,0,1,0,0,0,0,1,105
9,6,1,1,0,1,0,0,0,0,2,120
10,6,1,1,0,1,0,0,0,0,0,62
11,6,1,0,0,1,0,0,0,0,0,34
12,6,1,0,0,1,0,0,0,0,1,72
13,6,1,0,0,1,0,0,0,0,0,54
14,6,1,0,0,1,0,0,0,0,1,67
15,6,1,0,0,1,0,0,0,0,1,58
16,6,1,0,0,1,0,0,0,0,1,60
17,6,1,1,0,1,0,0,0,0,0,92
18,6,1,1,0,1,0,0,0,0,0,103
19,6,1,1,0,1,0,0,0,0,0,103
20,6,1,0,0,1,0,0,0,0,0,95
21,6,1,0,0,1,0,0,0,0,0,23
22,6,1,0,0,1,0,0,0,0,0,22
23,6,1,0,0,1,0,0,0,0,0,23
0,0,0,0,1,1,0,0,0,0,0,37
1,0,0,0,1,1,0,0,0,0,0,131
2,0,0,0,1,1,0,0,0,0,0,43
3,0,0,0,1,1,0,0,0,0,0,41
4,0,0,0,1,1,0,0,0,0,1,65
5,0,0,0,1,1,0,0,0,0,0,42
6,0,0,0,1,1,0,0,0,0,0,48
7,0,0,0,1,1,0,0,0,0,0,78
8,0,0,1,1,1,0,0,0,0,1,128
9,0,0,1,1,1,0,0,0,0,0,118
10,0,0,1,1,1,0,0,0,0,0,82
11,0,0,0,1,1,0,0,0,0,0,61
12,0,0,0,1,1,0,0,0,0,0,67
13,0,0,0,1,1,0,0,0,0,0,71
14,0,0,0,1,1,0,0,0,0,0,91
15,0,0,0,1,1,0,0,0,0,0,82
16,0,0,0,1,1,0,0,0,0,1,87
17,0,0,1,1,1,0,0,0,0,2,198
18,0,0,1,1,1,0,0,0,0,0,130
19,0,0,1,1,1,0,0,0,0,0,159
20,0,0,0,1,1,0,0,0,0,1,142
21,0,0,0,1,1,0,0,0,0,0,46
22,0,0,0,1,1,0,0,0,0,0,42
23,0,0,0,1,1,0,0,0,0,0,55
0,1,0,0,1,1,0,0,0,0,0,40
1,1,0,0,1,1,0,0,0,0,2,99
2,1,0,0,1,1,0,0,0,0,1,68
3,1,0,0,1,1,0,0,0,0,0,39
4,1,0,0,1,1,0,0,0,0,0,46
5,1,0,0,1,1,0,0,0,0,0,62
6,1,0,0,1,1,0,0,0,0,0,48
7,1,0,0,1,1,0,0,0,0,0,94
8,1,0,1,1,1,0,0,0,0,0,102
9,1,0,1,1,1,0,0,0,0,1,128
10,1,0,1,1,1,0,0,0,0,0,87
11,1,0,0,1,1,0,0,0,0,0,61
12,1,0,0,1,1,0,0,0,0,2,128
13,1,0,0,1,1,0,0,0,0,1,102
14,1,0,0,1,1,0,0,0,0,0,71
15,1,0,0,1,1,0,0,0,0,0,64
16,1,0,0,1,1,0,0,0,0,0,57
17,1,0,1,1,1,0,0,0,0,0,119
18,1,0,1,1,1,0,0,0,0,0,120
19,1,0,1,1,1,0,0,0,0,1,144
20,1,0,0,1,1,0,0,0,0,0,118
21,1,0,0,1,1,0,0,0,0,0,46
22,1,0,0,1,1,0,0,0,0,0,47
23,1,0,0,1,1,0,0,0,0,0,45
0,2,0,0,1,1,0,0,0,0,1,66
1,2,0,0,1,1,0,0,0,0,1,71
2,2,0,0,1,1,0,0,0,0,0,47
3,2,0,0,1,1,0,0,0,0,0,43
4,2,0,0,1,1,0,0,0,0,0,49
5,2,0,0,1,1,0,0,0,0,0,42
6,2,0,0,1,1,0,0,0,0,0,48
7,2,0,0,1,1,0,0,0,0,0,75
8,2,0,1,1,1,0,0,0,0,0,102
9,2,0,1,1,1,0,0,0,0,0,103
10,2,0,1,1,1,0,0,0,0,0,83
11,2,0,0,1,1,0,0,0,0,0,97
12,2,0,0,1,1,0,0,0,0,0,77
13,2,0,0,1,1,0,0,0,0,0,69
14,2,0,0,1,1,0,0,0,0,0,68
15,2,0,0,1,1,0,0,0,0,1,85
16,2,0,0,1,1,0,0,0,0,0,62
17,2,0,1,1,1,0,0,0,0,0,117
18,2,0,1,1,1,0,0,0,0,0,117
19,2,0,1,1,1,0,0,0,0,0,117
20,2,0,0,1,1,0,0,0,0,0,122
21,2,0,0,1,1,0,0,0,0,0,85
22,2,0,0,1,1,0,0,0,0,2,103
23,2,0,0,1,1,0,0,0,0,0,88
0,3,0,0,1,1,0,0,0,0,0,60
1,3,0,0,1,1,0,0,0,0,0,42
2,3,0,0,1,1,0,0,0,0,0,45
3,3,0,0,1,1,0,0,0,0,0,39
4,3,0,0,1,1,0,0,0,0,2,108
5,3,0,0,1,1,0,0,0,0,0,42
6,3,0,0,1,1,0,0,0,0,2,103
7,3,0,0,1,1,0,0,0,0,2,138
8,3,0,1,1,1,0,0,0,0,0,97
9,3,0,1,1,1,0,0,0,0,0,98
10,3,0,1,1,1,0,0,0,0,0,88
11,3,0,0,1,1,0,0,0,0,0,59
12,3,0,0,1,1,0,0,0,0,0,69
13,3,0,0,1,1,0,0,0,0,0,72
14,3,0,0,1,1,0,0,0,0,0,71
15,3,0,0,1,1,0,0,0,0,0,57
16,3,0,0,1,1,0,0,0,0,1,83
17,3,0,1,1,1,0,0,0,0,0,128
18,3,0,1,1,1,0,0,0,0,1,143
19,3,0,1,1,1,0,0,0,0,0,127
20,3,0,0,1,1,0,0,0,0,0,117
21,3,0,0,1,1,0,0,0,0,0,68
22,3,0,0,1,1,0,0,0,0,0,48
23,3,0,0,1,1,0,0,0,0,1,72
0,4,0,0,1,1,0,0,0,0,1,63
1,4,0,0,1,1,0,0,0,0,1,68
2,4,0,0,1,1,0,0,0,0,0,40
3,4,0,0,1,1,0,0,0,0,0,40
4,4,0,0,1,1,0,0,0,0,1,152
5,4,0,0,1,1,0,0,0,0,1,63
6,4,0,0,1,1,0,0,0,0,2,102
7,4,0,0,1,1,0,0,0,0,0,81
8,4,0,1,1,1,0,0,0,0,0,101
9,4,0,1,1,1,0,0,0,0,1,136
10,4,0,1,1,1,0,0,0,0,0,85
11,4,0,0,1,1,0,0,0,0,2,127
12,4,0,0,1,1,0,0,0,0,1,96
13,4,0,0,1,1,0,0,0,0,0,78
14,4,0,0,1,1,0,0,0,0,1,98
15,4,0,0,1,1,0,0,0,0,1,86
16,4,0,0,1,1,0,0,0,0,0,59
17,4,0,1,1,1,0,0,0,0,2,181
18,4,0,1,1,1,0,0,0,0,0,159
19,4,0,1,1,1,0,0,0,0,1,142
20,4,0,0,1,1,0,0,0,0,0,117
21,4,0,0,1,1,0,0,0,0,1,68
22,4,0,0,1,1,0,0,0,0,0,47
23,4,0,0,1,1,0,0,0,0,0,45
0,5,1,0,0,1,0,0,0,0,2,117
1,5,1,0,0,1,0,0,0,0,0,13
2,5,1,0,0,1,0,0,0,0,0,23
3,5,1,0,0,1,0,0,0,0,2,77
4,5,1,0,0,1,0,0,0,0,2,75
5,5,1,0,0,1,0,0,0,0,0,13
6,5,1,0,0,1,0,0,0,0,0,18
7,5,1,0,0,1,0,0,0,0,0,78
8,5,1,1,0,1,0,0,0,0,0,80
9,5,1,1,0,1,0,0,0,0,0,58
10,5,1,1,0,1,0,0,0,0,0,63
11,5,1,0,0,1,0,0,0,0,1,57
12,5,1,0,0,1,0,0,0,0,1,89
13,5,1,0,0,1,0,0,0,0,1,88
14,5,1,0,0,1,0,0,0,0,0,54
15,5,1,0,0,1,0,0,0,0,0,36
16,5,1,0,0,1,0,0,0,0,0,38
17,5,1,1,0,1,0,0,0,0,0,93
18,5,1,1,0,1,0,0,0,0,0,92
19,5,1,1,0,1,0,0,0,0,1,120
20,5,1,0,0,1,0,0,0,0,0,92
21,5,1,0,0,1,0,0,0,0,0,19
22,5,1,0,0,1,0,0,0,0,0,40
23,5,1,0,0,1,0,0,0,0,1,52
0,6,1,0,0,1,0,0,0,0,0,12
1,6,1,0,0,1,0,0,0,0,0,12
2,6,1,0,0,1,0,0,0,0,0,17
3,6,1,0,0,1,0,0,0,0,1,45
4,6,1,0,0,1,0,0,0,0,0,22
5,6,1,0,0,1,0,0,0,0,1,53
6,6,1,0,0,1,0,0,0,0,1,48
7,6,1,0,0,1,0,0,0,0,0,32
8,6,1,1,0,1,0,0,0,0,0,59
9,6,1,1,0,1,0,0,0,0,2,117
10,6,1,1,0,1,0,0,0,0,0,63
11,6,1,0,0,1,0,0,0,0,0,42
12,6,1,0,0,1,0,0,0,0,1,71
13,6,1,0,0,1,0,0,0,0,2,105
14,6,1,0,0,1,0,0,0,0,2,106
15,6,1,0,0,1,0,0,0,0,1,102
16,6,1,0,0,1,0,0,0,0,0,34
17,6,1,1,0,1,0,0,0,0,0,101
18,6,1,1,0,1,0,0,0,0,1,122
19,6,1,1,0,1,0,0,0,0,0,93
20,6,1,0,0,1,0,0,0,0,0,95
21,6,1,0,0,1,0,0,0,0,2,82
22,6,1,0,0,1,0,0,0,0,0,21
23,6,1,0,0,1,0,0,0,0,0,41
0,0,0,0,1,1,0,0,0,0,0,37
1,0,0,0,1,1,0,0,0,0,0,37
2,0,0,0,1,1,0,0,0,0,0,79
3,0,0,0,1,1,0,0,0,0,0,41
4,0,0,0,1,1,0,0,0,0,0,41
5,0,0,0,1,1,0,0,0,0,0,53
6,0,0,0,1,1,0,0,0,0,1,63
7,0,0,0,1,1,0,0,0,0,0,83
8,0,0,1,1,1,0,0,0,0,2,162
9,0,0,1,1,1,0,0,0,0,0,98
10,0,0,1,1,1,0,0,0,0,0,88
11,0,0,0,1,1,0,0,0,0,1,96
12,0,0,0,1,1,0,0,0,0,0,68
13,0,0,0,1,1,0,0,0,0,2,136
14,0,0,0,1,1,0,0,0,0,0,110
15,0,0,0,1,1,0,0,0,0,2,119
16,0,0,0,1,1,0,0,0,0,0,58
17,0,0,1,1,1,0,0,0,0,1,146
18,0,0,1,1,1,0,0,0,0,0,118
19,0,0,1,1,1,0,0,0,0,2,182
20,0,0,0,1,1,0,0,0,0,0,124
21,0,0,0,1,1,0,0,0,0,0,135
22,0,0,0,1,1,0,0,0,0,2,142
23,0,0,0,1,1,0,0,0,0,0,62
0,1,0,0,1,1,0,0,0,0,0,58
1,1,0,0,1,1,0,0,0,0,0,41
2,1,0,0,1,1,0,0,0,0,0,47
3,1,0,0,1,1,0,0,0,0,0,59
4,1,0,0,1,1,0,0,0,0,0,40
5,1,0,0,1,1,0,0,0,0,2,140
6,1,0,0,1,1,0,0,0,0,0,43
7,1,0,0,1,1,0,0,0,0,0,80
8,1,0,1,1,1,0,0,0,0,2,162
9,1,0,1,1,1,0,0,0,0,1,164
10,1,0,1,1,1,0,0,0,0,0,88
11,1,0,0,1,1,0,0,0,0,0,62
12,1,0,0,1,1,0,0,0,0,0,68
13,1,0,0,1,1,0,0,0,0,0,70
14,1,0,0,1,1,0,0,0,0,0,79
15,1,0,0,1,1,0,0,0,0,0,60
16,1,0,0,1,1,0,0,0,0,0,62
17,1,0,1,1,1,0,0,0,0,0,117
18,1,0,1,1,1,0,0,0,0,2,177
19,1,0,1,1,1,0,0,0,0,2,185
20,1,0,0,1,1,0,0,0,1,0,249
21,1,0,0,1,1,0,0,0,0,0,44
22,1,0,0,1,1,0,0,0,0,0,83
23,1,0,0,1,1,0,0,0,0,1,70
0,2,0,0,1,1,0,0,0,0,0,43
1,2,0,0,1,1,0,0,0,0,0,42
2,2,0,0,1,1,0,0,0,0,2,98
3,2,0,0,1,1,0,0,0,0,1,63
4,2,0,0,1,1,0,0,0,0,2,98
5,2,0,0,1,1,0,0,0,0,1,62
6,2,0,0,1,1,0,0,0,0,0,42
7,2,0,0,1,1,0,0,0,0,0,78
8,2,0,1,1,1,0,0,0,0,2,158
9,2,0,1,1,1,0,0,0,0,1,124
10,2,0,1,1,1,0,0,0,0,0,83
11,2,0,0,1,1,0,0,0,0,0,57
12,2,0,0,1,1,0,0,0,0,0,111
13,2,0,0,1,1,0,0,0,0,1,103
14,2,0,0,1,1,0,0,0,0,2,137
15,2,0,0,1,1,0,0,0,0,0,61
16,2,0,0,1,1,0,0,0,0,0,81
17,2,0,1,1,1,0,0,0,0,0,127
18,2,0,1,1,1,0,0,0,0,2,190
19,2,0,1,1,1,0,0,0,0,1,148
20,2,0,0,1,1,0,0,0,0,1,188
21,2,0,0,1,1,0,0,0,0,0,54
22,2,0,0,1,1,0,0,0,0,0,62
23,2,0,0,1,1,0,0,0,0,0,47
0,3,0,0,1,1,0,0,0,0,0,41
1,3,0,0,1,1,0,0,0,0,1,62
2,3,0,0,1,1,0,0,0,0,1,62
3,3,0,0,1,1,0,0,0,0,2,120
4,3,0,0,1,1,0,0,0,0,2,101
5,3,0,0,1,1,0,0,0,0,0,38
6,3,0,0,1,1,0,0,0,0,1,62
7,3,0,0,1,1,0,0,0,0,2,136
8,3,0,1,1,1,0,0,0,0,1,128
9,3,0,1,1,1,0,0,0,0,0,107
10,3,0,1,1,1,0,0,0,0,0,85
11,3,0,0,1,1,0,0,0,0,0,60
12,3,0,0,1,1,0,0,0,0,2,128
13,3,0,0,1,1,0,0,0,0,0,70
14,3,0,0,1,1,0,0,0,0,0,71
15,3,0,0,1,1,0,0,0,0,0,67
16,3,0,0,1,1,0,0,0,0,0,65
17,3,0,1,1,1,0,0,0,0,0,127
18,3,0,1,1,1,0,0,0,0,0,123
19,3,0,1,1,1,0,0,0,0,0,123
20,3,0,0,1,1,0,0,0,0,0,159
21,3,0,0,1,1,0,0,0,0,1,77
22,3,0,0,1,1,0,0,0,0,0,62
23,3,0,0,1,1,0,0,0,0,1,71
0,4,0,0,1,1,0,0,0,0,0,78
1,4,0,0,1,1,0,0,0,0,0,48
2,4,0,0,1,1,0,0,0,0,1,73
3,4,0,0,1,1,0,0,0,0,0,37
4,4,0,0,1,1,0,0,0,0,0,45
5,4,0,0,1,1,0,0,0,0,0,77
6,4,0,0,1,1,0,0,0,0,1,67
7,4,0,0,1,1,0,0,0,0,0,72
8,4,0,1,1,1,0,0,0,0,1,168
9,4,0,1,1,1,0,0,0,0,0,103
10,4,0,1,1,1,0,0,0,0,0,85
11,4,0,0,1,1,0,0,0,0,0,59
12,4,0,0,1,1,0,0,0,0,0,111
13,4,0,0,1,1,0,0,0,0,0,69
14,4,0,0,1,1,0,0,0,0,0,69
15,4,0,0,1,1,0,0,0,0,0,62
16,4,0,0,1,1,0,0,0,0,2,129
17,4,0,1,1,1,0,0,0,0,0,117
18,4,0,1,1,1,0,0,0,0,0,137
19,4,0,1,1,1,0,0,0,0,1,186
20,4,0,0,1,1,0,0,0,0,0,118
21,4,0,0,1,1,0,0,0,0,0,42
22,4,0,0,1,1,0,0,0,0,1,73
23,4,0,0,1,1,0,0,0,0,2,104
0,5,1,0,0,1,0,0,0,0,0,16
1,5,1,0,0,1,0,0,0,0,2,97
